# Channel 1,
# Tx_Cable_IL,
Frequency,IL
3.86E+09,-4.39E+01
3.87E+09,-4.38E+01
3.87E+09,-4.39E+01
3.87E+09,-4.40E+01
3.87E+09,-4.40E+01
3.87E+09,-4.39E+01
3.88E+09,-4.40E+01
3.88E+09,-4.41E+01
3.88E+09,-4.41E+01
3.88E+09,-4.41E+01
3.88E+09,-4.42E+01
3.89E+09,-4.43E+01
3.89E+09,-4.43E+01
3.89E+09,-4.44E+01
3.89E+09,-4.44E+01
3.89E+09,-4.45E+01
3.90E+09,-4.46E+01
3.90E+09,-4.45E+01
3.90E+09,-4.45E+01
